Identifier A,Identifier B,Species A,Species B,Positive interaction
A0A1D6JMK2,A0A1D6EU65,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JMK2,A0A1D6F9Y1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JMK2,A0A1D6FCD0,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JMK2,A0A1D6FKZ4,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JMK2,A0A1D6GAF1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JMK2,A0A1D6IEV2,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JMS4,A0A1D6IMX8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JMV2,A0A1D6I4Y7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JMV2,A0A096TWC0,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JMV2,A0A1D6ERN8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JMV2,A0A1D6F5T1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JMV2,A0A1D6FSD1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JMV2,A0A1D6G3U1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JMV2,A0A1D6H7J2,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JMV6,A0A1D6GPD5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JMV6,A0A1D6GZU7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JMY2,A0A1D6FQ51,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JMY2,A0A1D6HDN0,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JMY2,A0A1D6JMY2,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JMZ5,A0A1D6EEW2,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JMZ6,A0A096S8W7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JN03,A0A096QI23,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JN03,A0A1D6HK91,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JN48,A0A1D6F168,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JN48,A0A1D6J0T8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JN64,A0A1D6GW91,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JN64,A0A1D6HV16,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JN64,A0A1D6II42,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JN64,A0A1D6IU95,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JN64,A0A1D6J038,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JND3,A0A1D6F9D3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JNG8,A0A1D6EZ91,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JNI4,A0A1D6E6T6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JNK8,A0A1D6J5J3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JNR0,A0A1D6GU10,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JNR0,A0A1D6HEQ5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JNR1,A0A1D6H2S6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JNS5,A0A1D6EK57,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JNS5,A0A1D6FPC6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JNS5,A0A1D6HKP7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JNS5,A0A1D6IIS3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JNU6,A0A1D6GH73,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JNW9,A0A1D6HQM9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JNZ0,A0A1D6EF52,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP06,A0A1D6JNE9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP06,A0A1D6I348,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP11,A0A1D6I5W8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP38,A0A1D6IB97,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP38,A0A096Q2M8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP38,A0A1D6E647,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP38,A0A1D6F9D3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP38,A0A1D6FJM7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP38,A0A1D6FPC0,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP38,A0A1D6G1D6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP38,A0A1D6G935,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP38,A0A1D6GT29,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP38,A0A1D6H2R0,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP38,A0A1D6HAW8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP38,A0A1D6I3I9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP38,A0A1D6JH51,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP91,A0A096T3A1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP91,A0A1D6E4A5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP91,A0A096RL35,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP91,A0A1D6E4E1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP91,A0A1D6EZ81,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP91,A0A1D6F8N9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP91,A0A1D6FJA8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP91,A0A1D6FWM1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP91,A0A1D6G993,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP91,A0A1D6H2G7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP91,A0A1D6H6Y0,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP91,A0A1D6H7I0,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP91,A0A1D6HBR3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP91,A0A1D6HD63,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP91,A0A1D6HXM2,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP91,A0A1D6IB46,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP91,A0A1D6J3D9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP91,A0A1D6JP91,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JP91,A0A060D7E5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPD5,A0A1D6ESG6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPD5,A0A1D6E9J3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPD5,A0A1D6FZU7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPD5,A0A1D6G1F0,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPD5,A0A1D6GD30,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPD5,A0A1D6GWC0,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPD5,A0A1D6HDM1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPD5,A0A1D6HT66,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPD5,A0A1D6I4N4,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPD5,A0A1D6J6P9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPD5,A0A1D6JPD5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPD5,A0A060D121,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPH1,A0A1D6HQ89,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPI8,A0A1D6I854,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPN3,A0A1D6ELI3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPN7,A0A1D6GU10,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPN7,A0A1D6H6Y0,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPN7,A0A1D6HAG4,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPX1,A0A096S2Q4,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPX6,A0A1D6H7I7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPX6,A0A1D6G3W9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPX6,A0A1D6GU10,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPY6,A0A1D6GEP2,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPY6,A0A1D6JN03,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPZ4,A0A1D6EM29,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPZ4,A0A1D6GRJ1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JPZ4,A0A1D6GTR5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQ16,A0A1D6IP30,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQ27,A0A1D6E1H1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQ71,A0A1D6HL34,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQ76,A0A1D6G140,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQB2,A0A1D6H6Y6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQB2,A0A1D6INX8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQB2,A0A1D6IX46,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQB2,A0A1D6J8S6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQC6,A0A1D6F8B3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQD0,A0A096SBP5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQD6,A0A1D6H3A6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQE9,A0A1D6GGS7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQK2,A0A1D6JQK2,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQN1,A0A1D6FQE4,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQQ3,A0A1D6EW17,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQR0,A0A1D6GJR2,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQV8,A0A1D6FRP9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQV8,A0A1D6G0U5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQV8,A0A1D6GA59,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQV8,A0A1D6H8W5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQV8,A0A1D6HIR5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQV8,A0A1D6HR75,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQV8,A0A1D6HW42,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQV8,A0A1D6I7F9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQV8,A0A1D6IZQ8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JQV8,A0A1D6JPD5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JR08,A0A1D6EK57,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JR08,A0A1D6FZU7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JR11,A0A1D6ETD0,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JR11,A0A1D6I8H7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JR12,A0A1D6EBQ6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JR72,A0A1D6H6Y0,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRD2,A0A1D6GB70,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRD2,A0A1D6GZV9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRD2,A0A1D6JFQ5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRD5,A0A096S8W7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRD5,A0A1D6F447,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRD5,A0A1D6G1L4,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRD5,A0A1D6G4W3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRD5,A0A1D6G875,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRD5,A0A1D6GY38,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRD5,A0A1D6GZI1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRD5,A0A1D6HCF4,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRD5,A0A1D6HMG2,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRD5,A0A1D6HMW8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRD5,A0A1D6HZ94,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRD5,A0A1D6I7V3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRD5,A0A1D6IF29,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRD5,A0A1D6ILG6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRD5,A0A1D6J6D5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRI0,A0A1D6GSN9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRI5,A0A1D6GVJ9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRI5,A0A1D6DWJ6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRI5,A0A1D6EK57,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRI5,A0A1D6JRI5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRK2,A0A1D6GNH1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRL7,A0A1D6DSZ5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRM0,A0A1D6ESP0,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6ELF0,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6GH73,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6EGZ7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6IJ10,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6E921,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6ELP8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6ESY2,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6EWM7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6F027,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6F6V5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6F9M3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6FJM7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6FYR6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6GTC2,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6GUT5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6H388,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6HVH3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6HVS1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6HZ94,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6IUP7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6IXL9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRU7,A0A1D6IZR3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRW3,A0A1D6HYC6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRW3,A0A1D6JRW3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRW6,A0A1D6ENF9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRW6,A0A1D6DT18,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRW6,A0A1D6GXY1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRW6,A0A1D6HWM2,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRW6,A0A1D6JG12,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JRY6,A0A1D6E272,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JS34,A0A1D6FJ77,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSI9,A0A1D6H0T6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSI9,A0A1D6E708,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSI9,A0A1D6EGK2,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSI9,A0A1D6EGP3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSI9,A0A1D6F299,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSI9,A0A1D6F5T1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSI9,A0A1D6FCQ6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSI9,A0A1D6FJ28,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSI9,A0A1D6FJ44,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSI9,A0A1D6FQR4,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSI9,A0A1D6FWJ2,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSI9,A0A1D6IJY6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSI9,A0A1D6INZ6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSI9,A0A1D6J579,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSL6,A0A1D6I4K7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSN8,A0A1D6FCB8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSP0,A0A1D6HPT3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSP0,A0A1D6JSN1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSP0,A0A1D6EVM9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSP0,A0A1D6E7G4,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSP0,A0A1D6ERU4,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSP0,A0A1D6F0W7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSP0,A0A1D6F3V1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSP0,A0A1D6FBR8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSP0,A0A1D6G885,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSP0,A0A1D6G9R8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSP0,A0A1D6HGI4,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSP0,A0A1D6HIF7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSP0,A0A1D6HW42,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSP0,A0A1D6HY98,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSP0,A0A1D6HZ94,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSP0,A0A1D6IBF8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSP0,A0A1D6IIB1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSP0,A0A1D6IZC2,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSP0,A0A1D6JSL6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSP6,A0A1D6FQ51,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSQ3,A0A1D6EFN9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSQ3,A0A1D6HKR9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSQ3,A0A1D6FKZ1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSQ3,A0A1D6FPS6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSR8,A0A1D6FQ43,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JST4,A0A1D6FHM9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSU6,A0A1D6GVJ9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSU6,A0A1D6EQY9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSU6,A0A1D6FZB5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSU6,A0A1D6GDZ6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSU6,A0A1D6GQJ0,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSU6,A0A1D6II57,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSU6,A0A1D6IZR3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSV1,A0A1D6GSN9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JSV1,A0A1D6EQY9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JT79,A0A1D6JAZ1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JT86,A0A1D6FE38,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JTE8,A0A096PQY2,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JTE8,A0A1D6EK57,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JTF3,A0A1D6GD30,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JTI9,A0A1D6E101,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JTI9,A0A1D6E3B3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JTI9,A0A1D6EIV9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JTI9,A0A1D6EVL1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JTI9,A0A1D6FJA8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JTI9,A0A1D6FZP2,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JTI9,A0A1D6GG96,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JTI9,A0A1D6HKK5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JTI9,A0A1D6HQ21,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JTI9,A0A1D6IW19,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JTI9,A0A1D6JF10,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JTM6,A0A1D6JR08,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JTN0,A0A1D6EJX1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JTN1,A0A1D6FWR6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JTN6,A0A1D6F6H5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JTN6,A0A1D6JTN6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JU24,A0A1D6GHI6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JU37,A0A1D6GEC8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JU48,A0A1D6I5C8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JU48,A0A1D6ISR3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JU54,A0A1D6IK54,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JU68,A0A096QLF3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JU82,A0A1D6ENF9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JU82,A0A1D6EHK5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JU82,A0A1D6HVP7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JUA8,A0A1D6JIG9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JV89,A0A1D6EPE4,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JV89,A0A1D6EZI1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JV89,A0A1D6FQD5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JV89,A0A1D6FRR0,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JV89,A0A1D6FSE0,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JV89,A0A1D6FV35,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JV89,A0A1D6G548,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JV89,A0A1D6GAN5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JV89,A0A1D6GG41,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JV89,A0A1D6HRJ1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JV89,A0A1D6IYM7,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JVE9,A0A1D6JE38,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JVH6,A0A1D6HV16,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JVK1,A0A1D6HZJ9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JVK1,A0A1D6EAJ9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JVK1,A0A1D6G7F1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JVK1,A0A1D6IJV3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JVK1,A0A1D6JH69,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JVK1,A0A1D6JVK1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JVL3,A0A1D6FNB8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JVL3,A0A1D6G8K3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JVL3,A0A1D6JQR0,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JVM4,A0A1D6ENF9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JVN9,A0A1D6E0J9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JVN9,A0A1D6E6G8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JVN9,A0A1D6EAY3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JVN9,A0A1D6F2I6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JVN9,A0A1D6JVN9,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JVQ5,A0A1D6GAX8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JVU2,A0A1D6EK57,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JW10,A0A1D6E511,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JW10,A0A1D6E9Q8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JW10,A0A1D6GLD8,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JW13,A0A1D6GG86,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JW13,A0A1D6F931,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JW13,A0A1D6FYU5,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JW13,A0A1D6HVS1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JW13,A0A1D6HZ94,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JW13,A0A1D6JNR1,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JW61,A0A1D6E668,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JW61,A0A1D6ESI6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JW61,A0A1D6IDC6,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JW61,A0A1D6JP38,Zea mays (Maize),Zea mays (Maize),1
A0A1D6JWA5,A0A1D6I0C5,Zea mays (Maize),Zea mays (Maize),1
